Enter start page: Enter end page: 0
1
Contour #301: Unicode expected: U+0009, Position: (314, 568) y//120: 4
Contour #339: Unicode expected: U+0020, Position: (765, 572) y//120: 4
Contour #349: Unicode expected: U+0021, Position: (1217, 575) y//120: 4
Contour #361: Unicode expected: U+0022, Position: (1669, 579) y//120: 4
Contour #368: Unicode expected: U+0023, Position: (2123, 583) y//120: 4
Contour #369: Unicode expected: U+0024, Position: (2578, 586) y//120: 4
Contour #370: Unicode expected: U+0025, Position: (3032, 589) y//120: 4
Contour #371: Unicode expected: U+0026, Position: (3485, 593) y//120: 4
Contour #373: Unicode expected: U+0027, Position: (3937, 595) y//120: 4
Contour #374: Unicode expected: U+0028, Position: (4391, 598) y//120: 4
Contour #1224: Unicode expected: U+0029, Position: (309, 1153) y//120: 9
Contour #1234: Unicode expected: U+002A, Position: (761, 1157) y//120: 9
Contour #1243: Unicode expected: U+002B, Position: (1213, 1160) y//120: 9
Contour #1249: Unicode expected: U+002C, Position: (1666, 1164) y//120: 9
Contour #1250: Unicode expected: U+002D, Position: (2119, 1167) y//120: 9
Contour #1251: Unicode expected: U+002E, Position: (2575, 1170) y//120: 9
Contour #1252: Unicode expected: U+002F, Position: (3029, 1173) y//120: 9
Contour #1253: Unicode expected: U+0030, Position: (3482, 1175) y//120: 9
Contour #1254: Unicode expected: U+0031, Position: (3933, 1177) y//120: 9
Contour #1255: Unicode expected: U+0032, Position: (4389, 1179) y//120: 9
Contour #1490: Unicode expected: U+0033, Position: (306, 1763) y//120: 14
Contour #1502: Unicode expected: U+0034, Position: (756, 1766) y//120: 14
Contour #1512: Unicode expected: U+0035, Position: (1211, 1770) y//120: 14
Contour #1513: Unicode expected: U+0036, Position: (1663, 1772) y//120: 14
Contour #1514: Unicode expected: U+0037, Position: (2116, 1775) y//120: 14
Contour #1515: Unicode expected: U+0038, Position: (2572, 1777) y//120: 14
Contour #1516: Unicode expected: U+0039, Position: (3027, 1780) y//120: 14
Contour #1517: Unicode expected: U+003A, Position: (3480, 1781) y//120: 14
Contour #1518: Unicode expected: U+003B, Position: (3931, 1783) y//120: 14
Contour #1519: Unicode expected: U+003C, Position: (4386, 1784) y//120: 14
Contour #2383: Unicode expected: U+003D, Position: (302, 2344) y//120: 19
Contour #2384: Unicode expected: U+003E, Position: (753, 2346) y//120: 19
Contour #2385: Unicode expected: U+003F, Position: (1205, 2349) y//120: 19
Contour #2386: Unicode expected: U+0040, Position: (1659, 2351) y//120: 19
Contour #2387: Unicode expected: U+0041, Position: (2113, 2353) y//120: 19
Contour #2388: Unicode expected: U+0042, Position: (2569, 2354) y//120: 19
Contour #2389: Unicode expected: U+0043, Position: (3024, 2356) y//120: 19
Contour #2390: Unicode expected: U+0044, Position: (3477, 2357) y//120: 19
Contour #2391: Unicode expected: U+0045, Position: (3929, 2358) y//120: 19
Contour #2392: Unicode expected: U+0046, Position: (4384, 2358) y//120: 19
Contour #2658: Unicode expected: U+0047, Position: (299, 2943) y//120: 24
Contour #2659: Unicode expected: U+0048, Position: (750, 2946) y//120: 24
Contour #2660: Unicode expected: U+0049, Position: (1203, 2948) y//120: 24
Contour #2661: Unicode expected: U+004A, Position: (1657, 2949) y//120: 24
Contour #2662: Unicode expected: U+004B, Position: (2111, 2951) y//120: 24
Contour #2663: Unicode expected: U+004C, Position: (2567, 2951) y//120: 24
